Lemma,Case,Number,Gender,Degree,Upos,Forms
Abbau,Acc,Sing,Masc,,NOUN,Abbau | abbau
Abendessen,Dat,Sing,Neut,,NOUN,Abendessen | abendessen
Abschluß,Dat,Sing,Masc,,NOUN,Abschluss | Abschluß
Abschluß,Acc,Sing,Masc,,NOUN,Abschluss | Abschluß
Abschuß,Acc,Sing,Masc,,NOUN,Abschuss | Abschuß
Absender,Dat,Plur,Masc,,NOUN,Absender | Absendern
Absicht,Acc,,,,NOUN,Absicht | Absichten
Absicht,Dat,,,,NOUN,Absicht | Absichten
Abspielgerät,Dat,Sing,Neut,,NOUN,Abspielgerät | Abspielgeräte
Acker,Acc,Plur,Masc,,NOUN,Acker | Äcker
Aktienanteil,Dat,Sing,Masc,,NOUN,Aktienanteil | Aktienanteile
Aktienkurs,Dat,Sing,Masc,,NOUN,Aktienkurs | Aktienkurse
Aktienkurs,Dat,Plur,Masc,,NOUN,Aktienkurse | Aktienkursen
Aktion,Dat,Sing,Fem,,NOUN,Aktien-Transaktion | Aktion
Aktionär,Dat,Plur,Masc,,NOUN,Aktionäre | Aktionären
Aktivist,Acc,Sing,Masc,,NOUN,Aktivist | Aktivisten
Album,Dat,Sing,Neut,,NOUN,Alben | Album
All,Dat,Sing,Neut,,NOUN,All | Alle
Allee,Dat,Sing,Fem,,NOUN,Allee | Alleen
Alterungsprozeß,Acc,Sing,Masc,,NOUN,Alterungsprozess | Alterungsprozeß
Ander,Dat,Sing,,,NOUN,Anderem | Anderen
Angebot,Dat,Sing,Neut,,NOUN,Angebot | Angebote
Angebot,Dat,Plur,Neut,,NOUN,Angebote | Angeboten
Angehörig,Acc,Plur,,,NOUN,Angehörige | Angehörigen
Angeklagter,Acc,Plur,,,NOUN,Angeklagte | Angeklagten
Angestellt,Acc,Plur,,,NOUN,Angestellte | Angestellten
Angestellte,Acc,Plur,,,NOUN,Angestellte | Angestellten
Angriff,Dat,Sing,Masc,,NOUN,Angriff | Angriffe
Angriffsziel,Dat,Sing,Neut,,NOUN,Angriffsziel | Angriffsziele
Anlage,Acc,,,,NOUN,Anlage | Anlagen
Anlaß,Dat,Sing,Masc,,NOUN,Anlass | Anlaß
Anlaß,Acc,Sing,Masc,,NOUN,Anlass | Anlaß
Anruf,Dat,Sing,Masc,,NOUN,Anruf | Anrufe
Anrufbeantworter,Dat,Plur,Masc,,NOUN,Anrufbeantworter | Anrufbeantwortern
Anschluß,Dat,Sing,Masc,,NOUN,Anschluss | Anschluß
Anschluß,Acc,Sing,Masc,,NOUN,Anschluss | Anschluß
Ansicht,Dat,,,,NOUN,Ansicht | Ansichten
Anspruch,Acc,,,,NOUN,Anspruch | Ansprüche
Anteil,Dat,Sing,Masc,,NOUN,Anteil | Anteile
Anti-Trust-Prozeß,Dat,Sing,Masc,,NOUN,Anti-Trust-Prozess | Anti-Trust-Prozeß
Antitrust-Prozeß,Dat,Sing,Masc,,NOUN,Antitrust-Prozess | Antitrust-Prozeß
Architekt,Dat,Sing,Masc,,NOUN,Architekt | Architekten
Archiv,Dat,Sing,Neut,,PROPN,Archiv | Archive
Archiv,Dat,Sing,Neut,,NOUN,Archiv | Archive
