Lemma,Case,Number,Gender,Degree,Upos,Forms
A,Dat,Sing,Neut,,PROPN,A
A,Dat,Sing,Fem,,PROPN,A
A,Dat,Sing,Fem,,NOUN,A
A,Acc,Sing,,,PROPN,A
A,Dat,Sing,Masc,,PROPN,A
A,Dat,Plur,Neut,,NOUN,A
A-Root-Server,Dat,Sing,Masc,,NOUN,A-Root-Server
A-Status,Acc,Sing,Masc,,NOUN,A-Status
A.V.G.,Dat,Sing,,,PROPN,A.V.G.
A.V.G.,Dat,Sing,Fem,,PROPN,A.V.G.
A/D-Bildwandlung,Acc,Sing,Fem,,NOUN,A/D-Bildwandlung
A2,Acc,Sing,Neut,,PROPN,A2
A201-Modell,Dat,Sing,Neut,,NOUN,A201-Modell
A244,Dat,Sing,Masc,,PROPN,A244
A36,Acc,Sing,,,PROPN,A36
A6-Format,Dat,Sing,Neut,,NOUN,A6-Format
A60,Acc,Sing,Fem,,PROPN,A60
AA-Batterie,Dat,Plur,Fem,,NOUN,AA-Batterien
AAA,Dat,Sing,Fem,,PROPN,AAA
AAA-Batterie,Acc,Plur,Fem,,NOUN,AAA-Batterien
ABB,Dat,Sing,,,PROPN,ABB
ABC,Dat,Sing,Masc,,PROPN,ABC
ABC,Dat,Sing,Fem,,PROPN,ABC
ABC,Dat,Sing,,,PROPN,ABC
ABC,Acc,Sing,,,PROPN,ABC
ABC-Telemedia-Server,Dat,Sing,Masc,,NOUN,ABC-Telemedia-Server
ABCDE-Website,Dat,Sing,Fem,,NOUN,ABCDE-Website
ABM-Abkommen,Acc,Sing,Neut,,NOUN,ABM-Abkommen
ABM-Vertrag,Dat,Sing,Masc,,NOUN,ABM-Vertrag
AC,Dat,Sing,Masc,,PROPN,AC
AC,Acc,Sing,Masc,,PROPN,AC
AC,Dat,Sing,,,PROPN,AC
AC-97-Soundschnittstelle,Acc,Sing,Fem,,NOUN,AC-97-Soundschnittstelle
AC-Link,Acc,Sing,Masc,,NOUN,AC-Link
AC97-Sound,Dat,Sing,Masc,,NOUN,AC97-Sound
ACC,Dat,Sing,Fem,,PROPN,ACC
ACC,Acc,Sing,Neut,,PROPN,ACC
ACCA,Dat,Sing,Fem,,PROPN,ACCA
ACCC,Acc,Sing,,,PROPN,ACCC
