Lemma,Case,Number,Gender,Degree,Upos,Inflection,Forms
A,Dat,Sing,Neut,,PROPN,,A:1
A,Dat,Sing,Fem,,PROPN,,A:3
A,Dat,Sing,Fem,,NOUN,,A:2
A,Acc,Sing,,,PROPN,,A:1
A,Dat,Sing,Masc,,PROPN,,A:1
A,Dat,Plur,,,NOUN,,A:3
A-Root-Server,Dat,Sing,Masc,,NOUN,,A-Root-Server:1
A-Status,Acc,Sing,Masc,,NOUN,,A-Status:1
A.V.G.,Dat,Sing,,,PROPN,,A.V.G.:1
A.V.G.,Dat,Sing,Fem,,PROPN,,A.V.G.:1
A/D-Bildwandlung,Acc,Sing,Fem,,NOUN,,A/D-Bildwandlung:1
A2,Acc,Sing,Neut,,PROPN,,A2:1
A201-Modell,Dat,Sing,Neut,,NOUN,,A201-Modell:1
A244,Dat,Sing,Masc,,PROPN,,A244:1
A36,Acc,Sing,,,PROPN,,A36:2
A6-Format,Dat,Sing,Neut,,NOUN,,A6-Format:1
A60,Acc,Sing,Fem,,PROPN,,A60:1
AA-Batterie,Dat,Plur,,,NOUN,,AA-Batterien:1
AAA,Dat,Sing,Fem,,PROPN,,AAA:1
AAA-Batterie,Acc,Plur,,,NOUN,,AAA-Batterien:1
ABB,Dat,Sing,,,PROPN,,ABB:1
ABC,Dat,Sing,Masc,,PROPN,,ABC:1
ABC,Dat,Sing,Fem,,PROPN,,ABC:1
ABC,Dat,Sing,,,PROPN,,ABC:11
ABC,Acc,Sing,,,PROPN,,ABC:5
ABC-Telemedia-Server,Dat,Sing,Masc,,NOUN,,ABC-Telemedia-Server:1
ABCDE-Website,Dat,Sing,Fem,,NOUN,,ABCDE-Website:1
ABM-Abkommen,Acc,Sing,Neut,,NOUN,,ABM-Abkommen:1
ABM-Vertrag,Dat,Sing,Masc,,NOUN,,ABM-Vertrag:1
AC,Dat,Sing,Masc,,PROPN,,AC:2
AC,Acc,Sing,Masc,,PROPN,,AC:1
AC,Dat,Sing,,,PROPN,,AC:1
AC-97-Soundschnittstelle,Acc,Sing,Fem,,NOUN,,AC-97-Soundschnittstelle:1
AC-Link,Acc,Sing,Masc,,NOUN,,AC-Link:1
AC97-Sound,Dat,Sing,Masc,,NOUN,,AC97-Sound:1
ACC,Dat,Sing,Fem,,PROPN,,ACC:1
ACC,Acc,Sing,Neut,,PROPN,,ACC:1
ACCA,Dat,Sing,Fem,,PROPN,,ACCA:1
